id,category,url,name,description,price,dimensions,materials
599694C01,bracelets,https://us.pandora.net/en/bracelets/chain-bracelets/pandora-me-treated-freshwater-cultured-pearl-bracelet/599694C01.html,Pandora ME Treated Freshwater Cultured Pearl Bracelet,"Pearls, reimagined: this sterling silver Pandora ME Treated Freshwater Cultured Pearl Bracelet takes the iconic pearl and turns it into a design with endless personalization potential. The bracelet features two openable",$195.00,8.6mm high,"['Treated, freshwater cultured pearl', 'Sterling silver']"
563302C00,bracelets,https://us.pandora.net/en/bracelets/bangles/organically-shaped-broad-open-bangle/563302C00.html,Organically Shaped Broad Open Bangle,"The Organically Shaped Broad Open Bangle is a chunky style essential. This 14k gold-plated bangle features a wavy profile that varies in thickness, with slightly convex and concave details along the surface and rounded e",$330.00,"2.7mm deep, 13.2mm high",['14k gold plating']
561469C03,bracelets,https://us.pandora.net/en/bracelets/tennis-bracelets/sparkling-yellow-tennis-bracelet/561469C03.html,Sparkling Yellow Tennis Bracelet,"Add a touch of elegance to your look with a vibrant yellow crystal tennis bracelet. Perfect for everyday wear, this stylish piece is designed to make a statement.",$200.00,"2.5mm deep, 2.9mm high","['Man-made crystal', '14k gold plating']"
589217C01,bracelets,https://us.pandora.net/en/bracelets/chain-bracelets/sparkling-pave-bars-bracelet/589217C01.html,Sparkling Pavé Bars Bracelet,"Level up your look with the Sparkling Pavé Bars Bracelet. Hand-finished in Pandora Rose™ (14k rose gold-plated unique metal blend), this design is inspired by a piece from Pandora’s archive. Featuring rigid bars decorate",$185.00,"2.9mm deep, 4.5mm high, 4.5mm wide","['Cubic zirconia', '14k rose gold plating']"
562257C00,bracelets,https://us.pandora.net/en/bracelets/chain-bracelets/heart-closure-snake-chain-bracelet/562257C00.html,Heart Closure Snake Chain Bracelet,Put your heart into your style. Our 14k gold-plated snake chain bracelet features a spinning heart clasp that holds up to two of your favorite dangles.,$185.00,,['14k gold plating']
589588C00,bracelets,https://us.pandora.net/en/bracelets/chain-bracelets/pandora-me-medium-link-chain-bracelet/589588C00.html,Pandora ME Medium-Link Chain Bracelet,"Wear your mantra on your wrist. Our 14k rose gold-plated Pandora ME Medium-Link Chain Bracelet holds endless styling possibilities. The bracelet features three openable links, designed with a grooved surface to set them",$200.00,8.6mm high,['14k rose gold plating']
589358C01,bracelets,https://us.pandora.net/en/bracelets/charm-bracelets/final-sale---pandora-reflexions-long-clasp-pave-bracelet/589358C01.html,FINAL SALE - Pandora Reflexions Long Clasp Pavé Bracelet,"Add some sparkle to your look with the Pandora Reflexions Long Clasp Pavé Bracelet. Featuring an elongated clasp shape with diagonal rows of clear cubic zirconia pavé on the front and a polished back with Pandora logo, t",$114.99,"5.6mm deep, 7.8mm high, 12mm wide","['Cubic zirconia', '14k rose gold plating']"
583230C01,bracelets,https://us.pandora.net/en/bracelets/final-sale---pandora-moments-encircled-clasp-bangle/583230C01.html,FINAL SALE - Pandora Moments Encircled Clasp Bangle,"Celebrate the power of love with our Pandora Moments Encircled Clasp Bangle, a shimmering statement piece plated with 14k rose gold. Featuring an encircled clasp, the bangle is a symbol of infinite connections. The openw",$111.99,"11.6mm deep, 11.4mm high, 10.2mm wide","['Cubic zirconia', '14k rose gold plating']"
580728,bracelets,https://us.pandora.net/en/bracelets/chain-bracelets/moments-snake-chain-bracelet/580728.html,Moments Snake Chain Bracelet,"Start your very own Pandora story with this sleek, 14k rose gold-plated Moments Snake Chain Bracelet. The perfect canvas for your creativity, this hand-finished bracelet can be styled in countless ways. Fill it with your",$200.00,"10.3mm deep, 10.3mm high, 3mm wide",['14k rose gold plating']
563757C00,bracelets,https://us.pandora.net/en/bracelets/chain-bracelets/round-pandora-clasp-twisted-snake-chain-bracelet/563757C00.html,Round Pandora Clasp Twisted Snake Chain Bracelet,Wrap your wrist in style. Style our 14k gold-plated snake chain bracelet with your favorite charms or dangles for ultimate personalization.,$185.00,,['14k gold plating']
