id,category,url,name,description,price,dimensions,materials
154445C01,rings,https://us.pandora.net/en/rings/lab-grown-diamond-rings/pandora-era-lab-grown-diamond-triple-stone-ring/154445C01.html,Pandora Era Lab-Grown Diamond Triple Stone Ring,"A new kind of diamond ring. Featuring three lab-grown diamonds at its center, prong settings allow light to pass through the stones and cast brilliant reflections all around.",$275.00,"2.3mm deep, 3.15mm high, 7.6mm wide","['Lab-grown diamond', '14k white gold']"
154446C01,rings,https://us.pandora.net/en/rings/lab-grown-diamond-rings/pandora-era-lab-grown-diamond-trio-ring/154446C01.html,Pandora Era Lab Grown Diamond Trio Ring,"This delicate ring features three prong-set round brilliant lab-grown diamonds, set vertically at the center of a 14k white gold band. Perfect for stacking or wearing solo, it adds unique sparkle to any look.",$248.00,"2.1mm deep, 7mm high, 2.7mm wide","['Lab-grown diamond', '14k white gold']"
154447C01,rings,https://us.pandora.net/en/rings/lab-grown-diamond-rings/pandora-era-lab-grown-diamond-open-ring/154447C01.html,Pandora Era Lab-Grown Diamond Open Ring,"Featuring two round bezel-set lab-grown diamonds, this open ring is crafted from solid 14k white gold. Perfect for stacking, it adds a modern touch to any ensemble with its delicate, minimalist aesthetic.",$248.00,"1.8mm deep, 2.5mm high, 2.5mm wide","['Lab-grown diamond', '14k white gold']"
154003C01,rings,https://us.pandora.net/en/rings/lab-grown-diamond-rings/pandora-era-lab-grown-diamond-half-eternity-pave-band-ring/154003C01.html,Pandora Era Lab-Grown Diamond Half Eternity Pavé Band Ring,"Shine bright with lab-grown diamonds. This elegant band features a row of micro lab-grown diamonds, perfectly capturing the essence of modern luxury.",$388.00,"1.7mm deep, 1.5mm high","['Lab-grown diamond', '14k white gold']"
154314C01,rings,https://us.pandora.net/en/rings/lab-grown-diamond-rings/pandora-era-lab-grown-diamonds-14k-white-gold-eternity-ring/154314C01.html,Pandora Era Lab-Grown Diamonds 14k White Gold Eternity Ring,"Let the light in with this radiant lab-grown diamond ring. Craft a refined yet classic aesthetic with 14k white gold, and elevate any look with a ring to love for a lifetime.",$948.00,,"['Lab-Grown Diamond', '14k white gold']"
192894C01,rings,https://us.pandora.net/en/rings/lab-grown-diamond-rings/pandora-era-bezel-sterling-silver-lab-grown-diamond-ring/192894C01.html,Pandora Era Bezel Sterling Silver Lab-grown Diamond Ring,"Meet your new essential lab-grown diamond ring. The Pandora Era Bezel Sterling Silver Lab-grown Diamond Ring features a 0.15 carat lab-grown diamond in a sterling silver bezel setting with a sleek, contemporary aesthetic",$288.00,"2.9mm deep, 4.3mm high, 4.5mm wide","['Lab-grown diamond', 'Sterling silver']"
194371C01,rings,https://us.pandora.net/en/rings/statement-rings/cherry-blossom-ring/194371C01.html,Cherry Blossom Ring,"Spin into style. Our sterling silver cherry blossom ring features a rotating top flower with hand-applied enamel detailing. A playful, eye-catching design that moves with you.",$98.00,"5.6mm deep, 11.2mm high, 11.5mm wide","['Sterling silver', 'Enamel']"
PSA2701,gifts,https://us.pandora.net/en/gifts/featured-gifting/gift-sets/cherry-blossom-full-collection-set/PSA2701.html,Cherry Blossom full collection set,"Live in full bloom with this sterling silver set. Pink enamel petals shine from matching earrings, ring, danlge charm and chain. Wear them together of separate for pretty pops of colour.",$349.00,,
198421C03,rings,https://us.pandora.net/en/rings/promise-rings/elevated-pink-heart-ring/198421C03.html,Elevated Pink Heart Ring,"Embrace a dash of cool-toned color with the Elevated Pink Heart Ring. Made of sterling silver, this ring centers on a raised heart-shaped pink stone surrounded by pavé. A row of pavé along the top half of the band adds a",$98.00,"5.1mm deep, 8.2mm high, 8.2mm wide","['Cubic zirconia', 'Sterling silver']"
161198C01,rings,https://us.pandora.net/en/rings/promise-rings/double-heart-sparkling-ring/161198C01.html,Double Heart Sparkling Ring,"Shining in 14k gold plating, our hand-finished Double Heart Sparkling Ring features two heart-shaped clear cubic zirconia nestled together at different angles to symbolize the feeling of love and closeness between a moth",$158.00,,"['Cubic zirconia', '14k gold plating']"
NAMPS0438,gifts,https://us.pandora.net/en/gifts/featured-gifting/gift-sets/celestial-sparkling-sun-and-moon-ring-set/NAMPS0438.html,Celestial Sparkling Sun and Moon Ring Set,"Bring positivity and peace to your life with our Celestial Sparkling Sun and Moon Ring Set. Stackable with their counterpart, these rings can be worn by yourself or one given to someone special that brings you the balanc",$153.00,,
168421C01,rings,https://us.pandora.net/en/rings/elevated-heart-ring/168421C01.html,Elevated Heart Ring,Tell the world you believe in love with our Elevated Heart Ring. A heart-shaped clear cubic zirconia sits at the centre of the ring accented by sparkling pavé in the frame of the setting and along the front of the band.,$125.00,,"['Cubic zirconia', '14k gold plating']"
191198C01,rings,https://us.pandora.net/en/rings/statement-rings/double-heart-sparkling-ring/191198C01.html,Double Heart Sparkling Ring,The Double Heart Sparkling Ring features two heart-shaped clear cubic zirconia nestled together at different angles to symbolize the love between a mother and child. The ring shank is accented with a half row of pavé and,$125.00,,"['Cubic zirconia', 'Sterling silver']"
