id,category,url,name,description,price,dimensions,materials
364009C01,necklaces,https://us.pandora.net/en/necklaces/necklace-pendants/engravable-square-tag-pendant/364009C01.html,Engravable Square Tag Pendant,"Minimalist style that makes a statement. Add our 14k gold-plated engravable square disc pendant, outlined in a frame of sparkling stones, to your collection.",$66.50,"1.4mm deep, 19.8mm high, 19.8mm wide","['Cubic zirconia', '14k gold plating']"
764087C00,charms,https://us.pandora.net/en/charms/rose-medallion-charm/764087C00.html,Rose Medallion Charm,"Growth takes time. Wear a reminder of how far you've come. This mixed metal medallion features a blooming rose and the Latin engraving 'ROSA INTER SPINAS CRESCIT' — a reminder that beauty can rise, even among thorns.",$68.00,"2.6mm deep, 16mm high, 12.4mm wide","['Sterling silver', '14k gold plating']"
364007C01,necklaces,https://us.pandora.net/en/necklaces/necklace-pendants/engravable-round-tag-pendant/364007C01.html,Engravable Round Tag Pendant,"Minimalist style that makes a statement. Add our 14k gold-plated engravable disc pendant, encircled in a halo of sparkling stones, to your collection.",$105.00,"1.4mm deep, 21.4mm high, 21.4mm wide","['Cubic zirconia', '14k gold plating']"
763405C01,charms,https://us.pandora.net/en/charms/avocado-double-dangle-charm/763405C01.html,Avocado Double Dangle Charm,"Two halves make a whole, just like our hand-painted avocado charm with realistic details. Three different shades of green enamel create depth and texture and a 14k gold-plated seed fits perfectly into the hollow other ha",$95.00,"8mm deep, 11.8mm high, 8.5mm wide","['Sterling silver', '14k gold plating', 'Enamel']"
352903C01,necklaces,https://us.pandora.net/en/necklaces/lab-grown-diamond-necklaces/pandora-talisman-14k-gold-lab-grown-diamond-heart-pendant/352903C01.html,Pandora Talisman 14k Gold Lab-grown Diamond Heart Pendant,Feel the love with the Pandora Talisman 14k Gold Lab-grown Diamond Heart Pendant. This 14k gold pendant features a unique setting that creates a heart motif with a 0.75 carat lab-grown diamond sparkling at its center. On,$395.00,"2.7mm deep, 10mm high, 5.2mm wide","['Lab-grown diamond', '14k gold']"
394009C01,necklaces,https://us.pandora.net/en/necklaces/necklace-pendants/engravable-square-tag-pendant/394009C01.html,Engravable Square Tag Pendant,"Minimalist style that makes a statement. Add our sterling silver engravable square disc pendant, outlined in a frame of sparkling stones, to your collection.",$49.00,"1.4mm deep, 19.8mm high, 19.8mm wide","['Cubic zirconia', 'Sterling silver']"
762971C01,promotions,https://us.pandora.net/en/promotions/sale-review-page/final-sale---game-of-thrones-spinning-astrolabe-dangle-charm/762971C01.html,FINAL SALE - Game of Thrones Spinning Astrolabe Dangle Charm,"Never forget who you are and where you're going, thanks to the Game of Thrones Spinning Astrolabe Dangle Charm. This charm, made of three 14k gold-plated openwork spinning discs, represents the Game of Thrones astrolabe.",$61.99,"5.7mm deep, 16.4mm high, 16.5mm wide","['Cubic zirconia', 'Man-made crystal', '14k gold plating']"
793975C01,charms,https://us.pandora.net/en/charms/heart-medallion-charm/793975C01.html,Heart Medallion Charm,"The most universal language of all, captured in sterling silver. Featuring a flaming heart motif and 'AMOR VINCIT OMNIA' — Latin for 'LOVE CONQUERS ALL', it's a powerful reminder of what truly matters.",$48.00,"2.4mm deep, 13mm high, 13mm wide","['Cubic zirconia', 'Sterling silver']"
763974C01,charms,https://us.pandora.net/en/charms/lion-medallion-charm/763974C01.html,Lion Medallion Charm,"Bold by nature. Brave by choice. This 14k gold-plated medallion features a vintage-inspired lion motif on the front and Latin wisdom on the back — 'VITA VERITAS VIRTUS', which translates to 'LIFE, HONESTY, COURAGE’.",$75.00,"3.2mm deep, 16mm high, 15.5mm wide","['Cubic zirconia', '14k gold plating']"
394012C01,necklaces,https://us.pandora.net/en/necklaces/necklace-pendants/engravable-lab-grown-diamond-tag-pendant/394012C01.html,Engravable Lab-Grown Diamond Tag Pendant,Minimalist style that makes a brilliant statement. Our sterling silver polished disc pendant features a radiant lab-grown diamond in a star-shaped setting and is ready to engrave and personalize your way.,$70.00,"1.6mm deep, 17.3mm high, 17.3mm wide",['Sterling silver']
