,id,category,url,name,description,price,dimensions,materials
0,564402C01,bracelets,https://us.pandora.net/en/bracelets/tennis-bracelets/bridgerton-butterfly-slider-tennis-bracelet/564402C01.html,Bridgerton Butterfly Slider Tennis Bracelet,"The best of eveything for the best of friends. Inspired by Bridgerton, this 14k gold-plated bracelet is set with green man-made crystals. It features a butterfly on its centre stone and fringes at the end of its clasp.",$235.00,"6.8mm deep, 8.6mm high, 10.3mm wide","['Cubic zirconia', 'Man-made crystal', '14k gold plating']"
1,594401C01,bracelets,https://us.pandora.net/en/bracelets/tennis-bracelets/bridgerton-bee-slider-tennis-bracelet/594401C01.html,Bridgerton Bee Slider Tennis Bracelet,"The best of eveything for the best of friends. Inspired by Bridgerton, this sterling silver tennis bracelet is set with blue man-made crystals. It features a bee on its center stone and fringes at the end of its clasp.",$185.00,"7mm deep, 8.3mm high, 10.6mm wide","['Cubic zirconia', 'Man-made crystal', 'Sterling silver']"
2,594236C00,bracelets,https://us.pandora.net/en/bracelets/charm-bracelets/heart-clasp-faceted-snake-chain-bracelet/594236C00.html,Heart Clasp Faceted Snake Chain Bracelet,"Lead with the heart and lock down this snake chain bracelet. Crafted in sterling silver, it features a twisted chain with an engravable heart clasp to leave your mark.",$85.00,"8.4mm deep, 9.7mm high, 10.7mm wide",['Sterling silver']
3,594262C01,bracelets,https://us.pandora.net/en/bracelets/chain-bracelets/bow-chain-bracelet/594262C01.html,Bow Chain Bracelet,"Put a bow on your look. Made of sterling silver and set with clear cubic zirconia, this bracelet represents the connection between strength and beauty with an elegant row of connected bows.",$295.00,"3.5mm deep, 5.2mm high, 9mm wide","['Cubic zirconia', 'Sterling silver']"
4,591469C03,bracelets,https://us.pandora.net/en/bracelets/tennis-bracelets/sparkling-light-blue-tennis-bracelet/591469C03.html,Sparkling Light Blue Tennis Bracelet,"Make a bold statement with this stunning tennis bracelet, showcasing a row of round stones and a smaller stone dangling by the clasp, capturing the essence of modern style.",$118.00,"2.5mm deep, 2.9mm high","['Man-made crystal', 'Sterling silver']"
5,593539C01,bracelets,https://us.pandora.net/en/bracelets/tennis-bracelets/sparkling-bold-tennis-bracelet/593539C01.html,Sparkling Bold Tennis Bracelet,"Our reimagined classic tennis bracelet is crafted from sterling silver and features a sparkling row of 34 prong-set round brilliant-cut cubic zirconia. Designed with layering in mind, this is the ultimate piece to add sc",$158.00,"2.7mm deep, 4mm high","['Cubic zirconia', 'Sterling silver']"
6,594390C01,bracelets,https://us.pandora.net/en/bracelets/tennis-bracelets/triple-stone-heart-bracelet/594390C01.html,Triple Stone Heart Bracelet,"When you love someone, let them glow. Three sparkling stones form each heart on this sterling silver bracelet – with an extra accenting the clasp. The perfect gift to show just how much you care.",$175.00,"3mm deep, 5mm high","['Cubic zirconia', 'Sterling silver']"
7,564390C01,bracelets,https://us.pandora.net/en/bracelets/tennis-bracelets/triple-stone-heart-bracelet/564390C01.html,Triple Stone Heart Bracelet,"When you love someone, let them glow. Three sparkling stones form each heart on this 14k gold-plated bracelet – with an extra accenting the clasp. The perfect gift to show just how much you care.",$228.00,,"['Cubic zirconia', '14k gold plating']"
8,561469C01,jewelry,https://us.pandora.net/en/jewelry/best-sellers/sparkling-tennis-bracelet/561469C01.html,Sparkling Tennis Bracelet,"Choose a modern spin on a classic style with the Sparkling Tennis Bracelet. This 14k gold-plated bracelet sparkles with 48 round prong-set stones. Adjustable and dynamic, this cubic zirconia tennis bracelet features one",$185.00,"2.5mm deep, 2.9mm high","['Cubic zirconia', '14k gold plating']"
9,594367C00,bracelets,https://us.pandora.net/en/bracelets/tennis-bracelets/cuban-chain-bracelet/594367C00.html,Cuban Chain Bracelet,"Elevate your look with this Cuban chain bracelet. Crafted in sterling silver, both sides are polished for a high-shine finish. It closes with a flat clasp, embossed with the PANDORA logo.",$95.00,"4.4mm deep, 5.2mm high, 8mm wide",['Sterling silver']
10,564367C00,bracelets,https://us.pandora.net/en/bracelets/tennis-bracelets/cuban-chain-bracelet/564367C00.html,Cuban Chain Bracelet,"Elevate your look with this Cuban chain bracelet. Crafted in 14k gold plating, both sides are polished for a high-shine finish. It closes with a flat clasp, embossed with the PANDORA logo.",$165.00,"4.4mm deep, 5.3mm high, 8mm wide",['14k gold plating']
11,593927C02,bracelets,https://us.pandora.net/en/bracelets/tennis-bracelets/pink-small-tennis-bracelet/593927C02.html,Pink Small Tennis Bracelet,"Serve the sparkle in this small tennis bracelet. Crafted in sterling silver, it's set with pink cubic zirconia all the way around. Stacked or solo, it's a perfect ace every time.",$95.00,"2mm deep, 2.5mm high","['Cubic zirconia', 'Sterling silver']"
12,554442C00,bracelets,https://us.pandora.net/en/bracelets/chain-bracelets/pandora-era-bead-chain-bracelet/554442C00.html,Pandora Era Bead Chain Bracelet,"Your everyday jewelry, elevated. Inspired by the elegance of simplicity, this bead chain bracelet is crafted in solid 14k gold. Wear it, love it, never take it off.",$235.00,1.5mm high,['14k gold']
13,554450C00,bracelets,https://us.pandora.net/en/bracelets/chain-bracelets/pandora-era-linked-hearts-chain-bracelet/554450C00.html,Pandora Era Linked Hearts Chain Bracelet,This solid 14k gold chain bracelet is formed by interlocking hearts. We know it'll be love at first link.,$235.00,2.1mm high,['14k gold']
14,554448C00,bracelets,https://us.pandora.net/en/bracelets/chain-bracelets/pandora-era-figaro-chain-bracelet/554448C00.html,Pandora Era Figaro Chain Bracelet,"Our solid 14k gold figaro chain bracelet never misses a beat. With alternating short and long links, it brings perfect rhythm to every stack.",$235.00,1.6mm high,['14k gold']
15,553717C01,bracelets,https://us.pandora.net/en/bracelets/lab-grown-diamond-bracelets/pandora-era-lab-grown-diamond-bracelet/553717C01.html,Pandora Era Lab-Grown Diamond Bracelet,"Meet your new ""I'm never taking it off"" bracelet. An adjustable, sliding chain wraps comfortably around the wrist, decorated at the center with one prong-set round brilliant-cut 0.05ct TW lab-grown diamond. This elegant",$248.00,"2.4mm deep, 2.7mm high, 2.7mm wide","['Lab-grown diamond', '14k gold']"
16,553731C01,collections,https://us.pandora.net/en/collections/pandora-lab-grown-diamonds/pandora-era-bezel-lab-grown-diamond-cluster-paperclip-chain-bracelet/553731C01.html,Pandora Era Bezel Lab-Grown Diamond Cluster Paperclip Chain Bracelet,"Meet your new ""I'm never taking it off"" bracelet. A 14k solid gold paperclip chain wraps around the wrist, decorated at the center with a cluster of three diamonds - two prong-set and one bezel-set, totaling 0.10ct TW. G",$378.00,"2mm deep, 5mm high, 5mm wide","['Lab-grown diamond', '14k gold']"
